ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9649122807017544,0.996031746031746,0.9594594594594594,0.9861111111111112,0.9726027397260274,0.9245181185940877
Decision Tree,0.9210526315789473,0.9447751322751323,0.9090909090909091,0.9722222222222222,0.9395973154362416,0.8299275201966065
kNN,0.956140350877193,0.9824735449735449,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9058238738943076
Naive Bayes,0.9385964912280702,0.9933862433862435,0.9113924050632911,1.0,0.9536423841059603,0.8714893406611902
Random Forest,0.9736842105263158,0.9943783068783069,0.96,1.0,0.9795918367346939,0.9441549509633318
SVM,0.9824561403508771,0.9947089947089947,0.972972972972973,1.0,0.9863013698630136,0.962621902223779
